branch,attack,attack_class,mechanism,strength,regime,rule,n,n_fire,detection_rate
classical,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_X,union,240,240,1.0
classical,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_X,family_v12,240,240,1.0
classical,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_X,family,240,240,1.0
classical,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_XF,union,240,240,1.0
classical,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_XF,family_v12,240,238,0.9916666666666667
classical,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_XF,family,240,226,0.9416666666666667
classical,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_Ym,union,240,0,0.0
classical,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_Ym,family_v12,240,0,0.0
classical,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_Ym,family,240,0,0.0
classical,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_XFY,union,240,240,1.0
classical,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_XFY,family_v12,240,238,0.9916666666666667
classical,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_XFY,family,240,226,0.9416666666666667
classical,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_XFY_trusted,exact,240,18,0.075
classical,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_X,union,240,240,1.0
classical,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_X,family_v12,240,240,1.0
classical,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_X,family,240,240,1.0
classical,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_XF,union,240,240,1.0
classical,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_XF,family_v12,240,240,1.0
classical,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_XF,family,240,240,1.0
classical,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_Ym,union,240,0,0.0
classical,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_Ym,family_v12,240,0,0.0
classical,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_Ym,family,240,0,0.0
classical,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_XFY,union,240,240,1.0
classical,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_XFY,family_v12,240,240,1.0
classical,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_XFY,family,240,239,0.9958333333333333
classical,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_XFY_trusted,exact,240,33,0.1375
classical,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_X,union,240,240,1.0
classical,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_X,family_v12,240,240,1.0
classical,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_X,family,240,240,1.0
classical,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_XF,union,240,240,1.0
classical,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_XF,family_v12,240,240,1.0
classical,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_XF,family,240,240,1.0
classical,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_Ym,union,240,0,0.0
classical,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_Ym,family_v12,240,0,0.0
classical,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_Ym,family,240,0,0.0
classical,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_XFY,union,240,240,1.0
classical,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_XFY,family_v12,240,240,1.0
classical,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_XFY,family,240,240,1.0
classical,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_XFY_trusted,exact,240,58,0.24166666666666667
classical,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_X,union,240,240,1.0
classical,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_X,family_v12,240,237,0.9875
classical,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_X,family,240,237,0.9875
classical,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_XF,union,240,240,1.0
classical,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_XF,family_v12,240,232,0.9666666666666667
