protocol,dataset_tag,model,svd_dim,attack_family,attack,impact_mean,prediction_change_mean,feature_detectability_mean,feature_prediction_detectability_mean,label_marginal_detectability_mean,joint_outcome_detectability_mean,full_detectability_mean,n_split_clusters,n_model_seeds,raw_integrity_jsd_vs_clean_eval_max,raw_integrity_mmd_vs_clean_eval_max,raw_integrity_ks_reject05_vs_clean_eval_max,raw_integrity_score_jsd_vs_clean_eval_max,raw_integrity_label_prior_shift_max,raw_integrity_label_jsd_max,feature_prediction_structurally_blind,label_marginal_structurally_blind,impact_locus
id,id8c8771f4,qsvc_pauli_xyz_r1,8,target_shift,label_flip_prior_preserving_r_0.050,0.02578125,0.0,0.0,0.0,0.0,0.014966923802333887,0.006803147182879039,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_pauli_xyz_r1,10,target_shift,label_flip_prior_preserving_r_0.050,0.02578125,0.0,0.0,0.0,0.0,0.010405531948081904,0.004729787249128139,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_zz_r1,12,target_shift,label_flip_prior_preserving_r_0.050,0.02578125,0.0,0.0,0.0,0.0,0.009284576635119005,0.004220262106872276,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_z_r1,8,target_shift,label_flip_prior_preserving_r_0.050,0.025,0.0,0.0,0.0,0.0,0.014745685723859602,0.006702584419936183,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,svc_rbf,10,target_shift,label_flip_prior_preserving_r_0.050,0.025,0.0,0.0,0.0,0.0,0.011223053910662138,0.005101388141210064,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_zz_r1,8,target_shift,label_flip_prior_preserving_r_0.050,0.02421875,0.0,0.0,0.0,0.0,0.012664079444640259,0.005756399747563754,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_zz_r1,10,target_shift,label_flip_prior_preserving_r_0.050,0.02421875,0.0,0.0,0.0,0.0,0.00906714528920066,0.004121429676909391,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,svc_rbf,8,target_shift,label_flip_prior_preserving_r_0.050,0.0234375,0.0,0.0,0.0,0.0,0.01574412905807806,0.00715642229912639,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_z_r1,12,target_shift,label_flip_r_0.020,0.014329260786016351,0.0,0.0,0.0,0.35333470146965223,0.005958805696299307,0.06695122103825464,5,4,0.0,0.0,0.0,0.0,0.0234375,0.0002748343945789,True,False,evaluation_or_label_path
id,id8c8771f4,svc_rbf,12,target_shift,label_flip_r_0.020,0.012812346569869409,0.0,0.0,0.0,0.35333470146965223,0.005963946987010571,0.06695355798857794,5,4,0.0,0.0,0.0,0.0,0.0234375,0.0002748343945789,True,False,evaluation_or_label_path
