protocol,dataset_tag,model,svd_dim,split_seed,model_seed,impact_mean,detectability_feature_sharednorm_mean,detectability_standard_sharednorm_mean,detectability_label_marginal_sharednorm_mean,detectability_joint_outcome_sharednorm_mean,detectability_full_sharednorm_mean,stealth_standard_sharednorm_mean,stealth_full_sharednorm_mean,n_attacks,seed_unit
id,id8c8771f4,qsvc_pauli_xyz_r1,10,46,44,0.008877840909090905,0.19221864861066348,0.22351121707480243,0.08641535418570365,0.05156956243091769,0.12042939898410959,0.006585456278993053,0.007465035049709882,18,46|44
id,id8c8771f4,qsvc_pauli_xyz_r1,10,46,45,0.035631563935549365,0.20275142789015294,0.2228819998450178,0.08887557316470082,0.08079312797031929,0.13393134414191538,0.02242583523348953,0.025256177701127473,18,46|45
id,id8c8771f4,qsvc_pauli_xyz_r1,12,42,42,0.04220441421382281,0.22427699462797396,0.23869963826345664,0.07638740501592309,0.09776749000911061,0.14512825573920235,0.02434802326710806,0.02645770709223291,18,42|42
id,id8c8771f4,qsvc_pauli_xyz_r1,12,42,43,0.02168401217460356,0.2185855570210517,0.23285860934180283,0.09721925447629062,0.028151290419850983,0.11514812712900431,0.02101271623938396,0.019768339158619416,18,42|43
id,id8c8771f4,qsvc_pauli_xyz_r1,12,42,44,0.02689184113816466,0.21335603565818403,0.22723600077271358,0.06423425544651948,0.09367143204980118,0.13688815220299086,0.014350530216198316,0.015713839890857402,18,42|44
id,id8c8771f4,qsvc_pauli_xyz_r1,12,42,45,0.023318791547958212,0.21126363793891026,0.21645438237870607,0.16666666666666666,0.0486727636700319,0.13113769829075608,0.019523621809080887,0.01933018754386236,18,42|45
id,id8c8771f4,qsvc_pauli_xyz_r1,12,43,42,0.044108598231852175,0.2304769162253756,0.24398318999626786,0.08641535418570365,0.10823426548398887,0.15363043597967485,0.024294050755680387,0.026595677061273595,18,43|42
id,id8c8771f4,qsvc_pauli_xyz_r1,12,43,43,0.043328290648519126,0.21612493613195694,0.22933066473672398,0.09721925447629062,0.1087461445768201,0.15049926279850706,0.025526256515450166,0.026987938151469906,18,43|43
id,id8c8771f4,qsvc_pauli_xyz_r1,12,43,44,0.02430143905278313,0.20191704036034264,0.20359515911762582,0.13194296057147867,0.08152770001922924,0.13508227797360062,0.01508465527287398,0.016196592048064635,18,43|44
id,id8c8771f4,qsvc_pauli_xyz_r1,12,43,45,0.03884003562958938,0.19242740755964755,0.20632473768629855,0.08024339560167054,0.09807308816505321,0.13419556207034558,0.024145254006749117,0.025182877386430838,18,43|45
id,id8c8771f4,qsvc_pauli_xyz_r1,12,44,42,0.046051779264403424,0.2315825899668864,0.2287081285762863,0.11727515281585174,0.09519849836416767,0.14776139197797156,0.026465133087027193,0.029577295413164513,18,44|42
id,id8c8771f4,qsvc_pauli_xyz_r1,12,44,43,0.03273961452724893,0.21365848284042407,0.226047089186931,0.09721925447629062,0.08717116033051159,0.13949842430480575,0.016926842417970166,0.019276782899183373,18,44|43
id,id8c8771f4,qsvc_pauli_xyz_r1,12,44,44,0.06357080450662439,0.20223160915657837,0.2263533279286225,0.07638740501592309,0.14264210613347642,0.16103624112851986,0.035163598141343747,0.0368520019328041,18,44|44
id,id8c8771f4,qsvc_pauli_xyz_r1,12,44,45,0.03139359307799891,0.20791904101276065,0.2170189134420829,0.08024339560167054,0.0841478173750775,0.1317546847133691,0.015520348368013557,0.01730024073946025,18,44|45
id,id8c8771f4,qsvc_pauli_xyz_r1,12,45,42,0.03813724499022619,0.22265914334582504,0.24448330137370425,0.0920060883452081,0.08635330222734365,0.14488289939290466,0.02462178620499273,0.02739819781718014,18,45|42
id,id8c8771f4,qsvc_pauli_xyz_r1,12,45,43,0.021951826205223162,0.21440920747852157,0.2333960529304483,0.10220889783263903,0.04870317981816294,0.1255925369525351,0.018442936141086705,0.018706189682777128,18,45|43
id,id8c8771f4,qsvc_pauli_xyz_r1,12,45,44,0.02838957450852612,0.19801322116342787,0.23101427210621267,0.07638740501592309,0.08186770981500394,0.13510640432106513,0.014499850144670439,0.015815728960233796,18,45|44
id,id8c8771f4,qsvc_pauli_xyz_r1,12,45,45,0.03042017418993615,0.20965942475822621,0.23337374215164353,0.08887557316470082,0.1084658358032417,0.15032502672292583,0.0204979138945687,0.021478174752787797,18,45|45
id,id8c8771f4,qsvc_pauli_xyz_r1,12,46,42,0.0452107498982499,0.21076259742671108,0.21731503874462849,0.05555555555555555,0.10158495856360969,0.1352996417188794,0.02830955389097141,0.029561343982325225,18,46|42
id,id8c8771f4,qsvc_pauli_xyz_r1,12,46,43,0.039350285646947564,0.2076847968119272,0.22934716730030485,0.09875927420876114,0.10034220036192947,0.1469652926753081,0.02742922639312514,0.028813793696115482,18,46|43
id,id8c8771f4,qsvc_pauli_xyz_r1,12,46,44,0.01747523962745736,0.19638844718835607,0.23230213107964304,0.08641535418570365,0.052714963753735106,0.12414673195078683,0.012194655911830558,0.013655445767822579,18,46|44
id,id8c8771f4,qsvc_pauli_xyz_r1,12,46,45,0.05457424579028701,0.20528918301294455,0.22171880242364092,0.08887557316470082,0.13379084892624526,0.15759823642319926,0.030779578160328287,0.03354716479510536,18,46|45
id,id8c8771f4,qsvc_z_r1,8,42,42,0.016740965438882108,0.2144860231167987,0.2253230771767516,0.07638740501592309,0.022912284866165783,0.10623895846088012,0.015667517901154775,0.015939864857605034,18,42|42
id,id8c8771f4,qsvc_z_r1,8,42,43,0.01734364456978703,0.2112730293014411,0.2178469397888009,0.09721925447629062,0.014186225075637666,0.10334158122599756,0.016599076429835106,0.015896002352361067,18,42|43
id,id8c8771f4,qsvc_z_r1,8,42,44,0.03339226360059693,0.21257924010596688,0.21441276802900844,0.06423425544651948,0.07295736460637774,0.12280967327645104,0.02147256414741732,0.023009293708623105,18,42|44
id,id8c8771f4,qsvc_z_r1,8,42,45,0.02594362620404286,0.21418649866137937,0.21915555178910712,0.16666666666666666,0.06899700236608645,0.14135823202910855,0.01309089712800399,0.015096448012750625,18,42|45
id,id8c8771f4,qsvc_z_r1,8,43,42,0.031041452349801452,0.22504081825789982,0.23073338257515122,0.08641535418570365,0.07378792009091437,0.1331548944660531,0.01783703608030736,0.01966617153913775,18,43|42
id,id8c8771f4,qsvc_z_r1,8,43,43,0.02920062626043808,0.22353938032170356,0.22006804316461231,0.09721925447629062,0.07177846042553192,0.13032754397624455,0.01697754790212072,0.019075584465467015,18,43|43
id,id8c8771f4,qsvc_z_r1,8,43,44,0.012745436065328528,0.187633757792965,0.19507871780132455,0.13194296057147867,0.11394039471386382,0.14671843326523404,0.012572759486809103,0.01107981953108199,18,43|44
id,id8c8771f4,qsvc_z_r1,8,43,45,0.027289075476799762,0.1838384463431987,0.18683831978527865,0.08024339560167054,0.06124107970028033,0.11036776989507793,0.016663358961427788,0.018788921559601515,18,43|45
id,id8c8771f4,qsvc_z_r1,8,44,42,0.02574259969549024,0.22462208462857985,0.22848136319642665,0.11727515281585174,0.08243419090903381,0.141876973905689,0.015317086396573356,0.016133241950417748,18,44|42
id,id8c8771f4,qsvc_z_r1,8,44,43,0.025887237202761385,0.2118915319177027,0.22100199885041472,0.09721925447629062,0.06296547331296518,0.12666126099264238,0.012678398780670036,0.015407818904028992,18,44|43
id,id8c8771f4,qsvc_z_r1,8,44,44,0.01640588727282276,0.18690427397512932,0.19369948431817066,0.07638740501592309,0.019525689251101357,0.09320010850545778,0.014865677466194811,0.015419809144632026,18,44|44
id,id8c8771f4,qsvc_z_r1,8,44,45,0.019391718554778756,0.20779842621013284,0.21361742508299209,0.08024339560167054,0.0571882738582468,0.11826344189332211,0.01033728908376073,0.012737770129557761,18,44|45
id,id8c8771f4,qsvc_z_r1,8,45,42,0.0179840278144262,0.21326208916771427,0.21769379692897906,0.0920060883452081,0.03725236490118635,0.11282265353747856,0.01612932435695716,0.015864849564339745,18,45|42
id,id8c8771f4,qsvc_z_r1,8,45,43,0.015404693596476933,0.21036382969780995,0.22377696354046364,0.10220889783263903,0.06712851583693698,0.1304698390010743,0.01304913444558475,0.013514764653094246,18,45|43
id,id8c8771f4,qsvc_z_r1,8,45,44,0.01797290784185945,0.19150923307237894,0.2069856089968292,0.07638740501592309,0.026094088963839315,0.10101706280348723,0.01567684593248336,0.016055846505263385,18,45|44
