protocol,dataset_tag,model,svd_dim,split_seed,model_seed,impact_mean,detectability_feature_sharednorm_mean,detectability_standard_sharednorm_mean,detectability_label_marginal_sharednorm_mean,detectability_joint_outcome_sharednorm_mean,detectability_full_sharednorm_mean,stealth_standard_sharednorm_mean,stealth_full_sharednorm_mean,n_attacks,seed_unit,gate,max_train,max_test
id,id6292a46b,qsvc_pauli_xyz_r1,10,44,42,0.02825516825247111,0.2024385532045983,0.20633948703377378,0.11727515281585174,0.1382832930159318,0.1592113380769507,0.0207140675004555,0.0209107149836608,18,44|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,10,44,43,0.037485070373175194,0.19784691391981227,0.19833540383689646,0.09721925447629062,0.0880200076666232,0.12980728751211665,0.030409931700551056,0.029971574942501966,18,44|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,10,45,42,0.018304841927323623,0.22328263867591142,0.21347777737466767,0.0920060883452081,0.040433100234792595,0.11273534430573179,0.016029142940636218,0.01623368422339405,18,45|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,10,45,43,0.026340984007353112,0.202343843782597,0.21837392278134912,0.10220889783263903,0.08446762687173032,0.1363865110135751,0.021270945800289418,0.02176530868647567,18,45|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,10,46,42,0.02437031525573192,0.19774982101526373,0.1995554480296503,0.05555555555555555,0.05981509246437133,0.10985530595923354,0.019772812506054657,0.021127191602072708,18,46|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,10,46,43,0.01791040562881961,0.2146502454891867,0.205550733336482,0.09875927420876114,0.07704089198674234,0.12772054015428747,0.013615789633556866,0.015031049714046995,18,46|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,12,42,42,0.03479010535462149,0.22312953295564825,0.22568807977728542,0.07638740501592309,0.11747691244721999,0.14935560830700798,0.021457390451478393,0.024059230665606737,18,42|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,12,42,43,0.05509854386702504,0.20694882894048192,0.2033324123849651,0.09721925447629062,0.13102243965872923,0.15117094152600796,0.03758811817257893,0.03821183066838316,18,42|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,12,43,42,0.031955860939793815,0.18654202313882245,0.19138249364577378,0.08641535418570365,0.05280598563811079,0.10930823737682331,0.026478733987405672,0.027038186681012828,18,43|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,12,43,43,0.019219524999094885,0.18997781833290062,0.1928851077988675,0.09721925447629062,0.03428552061246865,0.1034005948373086,0.016808608049842525,0.016966759895209294,18,43|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,12,44,42,0.03652028157069589,0.21505496583721262,0.22900986859699582,0.11727515281585174,0.07576944539881598,0.13903972791034244,0.023140118851214732,0.027853373784312012,18,44|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,12,44,43,0.028276298882817692,0.20819522717240638,0.2145409898118535,0.09721925447629062,0.08114911677961666,0.13257709564527986,0.02197338678564473,0.022147191905415597,18,44|43,gate5a_id_unsw,128,128
