protocol,dataset_tag,model,svd_dim,attack_family,attack,impact_mean,prediction_change_mean,feature_detectability_mean,feature_prediction_detectability_mean,label_marginal_detectability_mean,joint_outcome_detectability_mean,full_detectability_mean,n_split_clusters,n_model_seeds,raw_integrity_jsd_vs_clean_eval_max,raw_integrity_mmd_vs_clean_eval_max,raw_integrity_ks_reject05_vs_clean_eval_max,raw_integrity_score_jsd_vs_clean_eval_max,raw_integrity_label_prior_shift_max,raw_integrity_label_jsd_max,feature_prediction_structurally_blind,label_marginal_structurally_blind,impact_locus,gate,max_train,max_test
id,idcc6a61e9,qsvc_pauli_xyz_r1,10,target_shift,label_flip_prior_preserving_r_0.100,0.0453125,0.0,0.0,0.0,0.0,0.022938548202417017,0.010426612819280461,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,idcc6a61e9,qsvc_z_r1,10,target_shift,label_flip_prior_preserving_r_0.100,0.0453125,0.0,0.0,0.0,0.0,0.02324062208489979,0.010563919129499905,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,idcc6a61e9,qsvc_zz_r1,12,target_shift,label_flip_r_0.050,0.044681103709821327,0.0,0.0,0.0,0.5235872621545179,0.024878359464308684,0.10650602923914354,5,2,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,10,target_shift,label_flip_r_0.100,0.044637466611109435,0.0,0.0,0.0,0.8306353631849717,0.02555971655815518,0.1626426644691563,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5b_id_ton_iot,128,128
ood,tr993984ca__teb9107599,svc_rbf,10,target_shift,label_flip_r_0.100,0.04433207003949393,0.0,0.0,0.0,0.8531189888323967,0.042191023386054446,0.17429028132682414,5,2,0.0,0.0,0.0,0.0,0.046875,0.0011014601470781,True,False,evaluation_or_label_path,gate6_ood_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,8,target_shift,label_flip_prior_preserving_r_0.100,0.04375,0.0,0.0,0.0,0.0,0.048608892902247645,0.022094951319203474,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5a_id_unsw,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,10,target_shift,label_flip_r_0.100,0.0429490910022873,0.0,0.0,0.0,0.8531189888323967,0.0363996260428694,0.17165782798901275,5,2,0.0,0.0,0.0,0.0,0.046875,0.0011014601470781,True,False,evaluation_or_label_path,gate6_ood_unsw,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,12,target_shift,label_flip_r_0.050,0.04293455536399084,0.0,0.0,0.0,0.23677225212933703,0.0418724520175325,0.06208243312239423,5,2,0.0,0.0,0.0,0.0,0.015625,0.0001221050969211,True,False,evaluation_or_label_path,gate3b_ood_tue_fri_portscan,128,128
ood,tr993984ca__teb9107599,svc_rbf,8,target_shift,label_flip_r_0.100,0.04279182301448646,0.0,0.0,0.0,0.8531189888323967,0.05189327826813358,0.17870039718231465,5,2,0.0,0.0,0.0,0.0,0.046875,0.0011014601470781,True,False,evaluation_or_label_path,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,svc_rbf,12,target_shift,label_flip_r_0.100,0.04233498118275913,0.0,0.0,0.0,0.8531189888323967,0.030609043825318018,0.169025745162853,5,2,0.0,0.0,0.0,0.0,0.046875,0.0011014601470781,True,False,evaluation_or_label_path,gate6_ood_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,10,target_shift,label_flip_prior_preserving_r_0.100,0.0421875,0.0,0.0,0.0,0.0,0.03232787234780003,0.014694487430818196,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5a_id_unsw,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,10,target_shift,label_flip_r_0.100,0.04211232836215184,0.0,0.0,0.0,0.9031082880500362,0.08843457317807762,0.20439904018095095,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate3b_ood_tue_fri_portscan,128,128
id,idcc6a61e9,qsvc_pauli_xyz_r1,10,target_shift,label_flip_r_0.100,0.04193829317482404,0.0,0.0,0.0,0.8306353631849717,0.024130280007568707,0.16199292058252607,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5b_id_ton_iot,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,10,target_shift,label_flip_prior_preserving_r_0.100,0.040625,0.0,0.0,0.0,0.0,0.022189187173980943,0.010085994169991338,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate3b_ood_tue_fri_portscan,128,128
