gate,svd_dim,split_seed,model_seed,n_eval,near_duplicate_rows_1e-6,near_duplicate_row_fraction_1e-6,max_cluster_mass_width_0.01sd,mean_cluster_mass_width_0.01sd,max_cluster_mass_width_0.001sd,n_features_cluster_ge_0.20_width_0.01sd,n_features
gate3d_ood_wed_fri_morning,12,46,43,128,2,0.015625,0.7578125,0.62109375,0.640625,12,12
gate5a_id_unsw,8,42,42,128,18,0.140625,0.6015625,0.4716796875,0.546875,8,8
gate5a_id_unsw,8,42,43,128,21,0.1640625,0.6171875,0.4296875,0.5,8,8
gate5a_id_unsw,8,43,42,128,23,0.1796875,0.5546875,0.423828125,0.5390625,8,8
gate5a_id_unsw,8,43,43,128,19,0.1484375,0.5859375,0.4384765625,0.46875,8,8
gate5a_id_unsw,8,44,42,128,21,0.1640625,0.5,0.41015625,0.5,8,8
gate5a_id_unsw,8,44,43,128,21,0.1640625,0.5,0.4130859375,0.4453125,8,8
gate5a_id_unsw,8,45,42,128,19,0.1484375,0.5390625,0.4501953125,0.4921875,8,8
gate5a_id_unsw,8,45,43,128,20,0.15625,0.53125,0.4130859375,0.4921875,8,8
gate5a_id_unsw,8,46,42,128,19,0.1484375,0.4609375,0.408203125,0.453125,8,8
gate5a_id_unsw,8,46,43,128,22,0.171875,0.59375,0.4619140625,0.5625,8,8
gate5a_id_unsw,10,42,42,128,15,0.1171875,0.765625,0.51171875,0.546875,10,10
gate5a_id_unsw,10,42,43,128,17,0.1328125,0.8671875,0.48359375,0.5,10,10
gate5a_id_unsw,10,43,42,128,20,0.15625,0.9375,0.4921875,0.609375,10,10
gate5a_id_unsw,10,43,43,128,17,0.1328125,0.9140625,0.5,0.5234375,10,10
gate5a_id_unsw,10,44,42,128,17,0.1328125,0.9375,0.47734375,0.5703125,10,10
gate5a_id_unsw,10,44,43,128,20,0.15625,0.8203125,0.46171875,0.4609375,10,10
gate5a_id_unsw,10,45,42,128,17,0.1328125,0.734375,0.47265625,0.4921875,10,10
gate5a_id_unsw,10,45,43,128,12,0.09375,0.734375,0.4296875,0.4921875,10,10
gate5a_id_unsw,10,46,42,128,14,0.109375,0.7265625,0.44765625,0.453125,10,10
gate5a_id_unsw,10,46,43,128,20,0.15625,0.84375,0.50703125,0.5625,10,10
gate5a_id_unsw,12,42,42,128,4,0.03125,0.765625,0.486328125,0.546875,12,12
gate5a_id_unsw,12,42,43,128,7,0.0546875,0.8671875,0.4615885416666667,0.5,12,12
gate5a_id_unsw,12,43,42,128,10,0.078125,0.9375,0.505859375,0.609375,12,12
gate5a_id_unsw,12,43,43,128,5,0.0390625,0.9140625,0.4856770833333333,0.5234375,12,12
gate5a_id_unsw,12,44,42,128,2,0.015625,0.9375,0.4524739583333333,0.5703125,12,12
gate5a_id_unsw,12,44,43,128,0,0.0,0.8203125,0.4348958333333333,0.4609375,12,12
gate5a_id_unsw,12,45,42,128,14,0.109375,0.734375,0.46484375,0.4921875,12,12
gate5a_id_unsw,12,45,43,128,7,0.0546875,0.734375,0.4212239583333333,0.4921875,12,12
gate5a_id_unsw,12,46,42,128,6,0.046875,0.7265625,0.4459635416666667,0.453125,12,12
gate5a_id_unsw,12,46,43,128,9,0.0703125,0.84375,0.486328125,0.5625,12,12
gate5b_id_ton_iot,8,42,42,128,35,0.2734375,0.8671875,0.40234375,0.5,8,8
gate5b_id_ton_iot,8,42,43,128,28,0.21875,0.8671875,0.525390625,0.640625,6,8
gate5b_id_ton_iot,8,43,42,128,49,0.3828125,0.890625,0.4306640625,0.515625,8,8
gate5b_id_ton_iot,8,43,43,128,48,0.375,0.8671875,0.3896484375,0.59375,7,8
gate5b_id_ton_iot,8,44,42,128,27,0.2109375,0.859375,0.5537109375,0.5625,7,8
gate5b_id_ton_iot,8,44,43,128,31,0.2421875,0.8359375,0.4853515625,0.5078125,8,8
gate5b_id_ton_iot,8,45,42,128,32,0.25,0.8203125,0.494140625,0.5078125,8,8
gate5b_id_ton_iot,8,45,43,128,32,0.25,0.890625,0.513671875,0.71875,8,8
gate5b_id_ton_iot,8,46,42,128,46,0.359375,0.8984375,0.537109375,0.6015625,7,8
gate5b_id_ton_iot,8,46,43,128,29,0.2265625,0.90625,0.44921875,0.5546875,8,8
gate5b_id_ton_iot,10,42,42,128,33,0.2578125,0.8671875,0.40234375,0.5,10,10
gate5b_id_ton_iot,10,42,43,128,28,0.21875,0.8671875,0.49140625,0.640625,8,10
gate5b_id_ton_iot,10,43,42,128,32,0.25,0.890625,0.4015625,0.515625,10,10
gate5b_id_ton_iot,10,43,43,128,25,0.1953125,0.8671875,0.36640625,0.59375,8,10
gate5b_id_ton_iot,10,44,42,128,27,0.2109375,0.859375,0.53125,0.5625,9,10
gate5b_id_ton_iot,10,44,43,128,31,0.2421875,0.8359375,0.47890625,0.5078125,10,10
gate5b_id_ton_iot,10,45,42,128,32,0.25,0.8203125,0.49609375,0.5078125,10,10
gate5b_id_ton_iot,10,45,43,128,32,0.25,0.890625,0.4953125,0.71875,10,10
gate5b_id_ton_iot,10,46,42,128,46,0.359375,0.8984375,0.53046875,0.6015625,9,10
gate5b_id_ton_iot,10,46,43,128,29,0.2265625,0.90625,0.46875,0.5546875,10,10
gate5b_id_ton_iot,12,42,42,128,33,0.2578125,0.8671875,0.373046875,0.5,11,12
gate5b_id_ton_iot,12,42,43,128,28,0.21875,0.8671875,0.453125,0.640625,9,12
gate5b_id_ton_iot,12,43,42,128,32,0.25,0.890625,0.3587239583333333,0.515625,10,12
gate5b_id_ton_iot,12,43,43,128,24,0.1875,0.8671875,0.3268229166666667,0.59375,8,12
gate5b_id_ton_iot,12,44,42,128,27,0.2109375,0.859375,0.5625,0.5703125,11,12
gate5b_id_ton_iot,12,44,43,128,31,0.2421875,0.8359375,0.4641927083333333,0.5078125,12,12
gate5b_id_ton_iot,12,45,42,128,32,0.25,0.8203125,0.515625,0.5078125,12,12
gate5b_id_ton_iot,12,45,43,128,32,0.25,0.890625,0.4694010416666667,0.71875,12,12
