gate,svd_dim,model,target,target_kind,n,n_fire,false_alarm_rate,ci95_low,ci95_high
gate3a_ood_tue_wed,10,qsvc_zz_r1,integrity_mmd_vs_clean_eval,sensor,200,12,0.06,0.031383953893483446,0.10246183130832447
gate3a_ood_tue_wed,10,qsvc_zz_r1,integrity_ks_reject05_vs_clean_eval,sensor,200,6,0.03,0.011087455672254776,0.06415062670502698
gate3a_ood_tue_wed,10,qsvc_zz_r1,integrity_score_jsd_vs_clean_eval,sensor,200,6,0.03,0.011087455672254776,0.06415062670502698
gate3a_ood_tue_wed,10,qsvc_zz_r1,integrity_pred_pos_rate_shift,sensor,200,10,0.05,0.024234165472108552,0.0900275377013513
gate3a_ood_tue_wed,10,qsvc_zz_r1,integrity_pred_jsd,sensor,200,2,0.01,0.001213349013736031,0.03565466839723975
gate3a_ood_tue_wed,10,qsvc_zz_r1,integrity_label_prior_shift,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,10,qsvc_zz_r1,integrity_label_jsd,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,10,qsvc_zz_r1,integrity_confusion_profile_l1,sensor,200,8,0.04,0.017424808994480605,0.07729196822601608
gate3a_ood_tue_wed,10,qsvc_zz_r1,integrity_confusion_profile_jsd,sensor,200,8,0.04,0.017424808994480605,0.07729196822601608
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_X,regime,200,33,0.165,0.11638311995805393,0.22384346771182057
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_XF,regime,200,46,0.23,0.17358086280159127,0.2946063945659808
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_Ym,regime,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_XFY,regime,200,50,0.25,0.19160716962258753,0.3159628333298691
gate3a_ood_tue_wed,10,svc_rbf,integrity_jsd_vs_clean_eval,sensor,200,19,0.095,0.058169609725120246,0.14437663997685266
gate3a_ood_tue_wed,10,svc_rbf,integrity_mmd_vs_clean_eval,sensor,200,12,0.06,0.031383953893483446,0.10246183130832447
gate3a_ood_tue_wed,10,svc_rbf,integrity_ks_reject05_vs_clean_eval,sensor,200,6,0.03,0.011087455672254776,0.06415062670502698
gate3a_ood_tue_wed,10,svc_rbf,integrity_score_jsd_vs_clean_eval,sensor,200,13,0.065,0.03506070865697905,0.10858723650381527
gate3a_ood_tue_wed,10,svc_rbf,integrity_pred_pos_rate_shift,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,10,svc_rbf,integrity_pred_jsd,sensor,200,13,0.065,0.03506070865697905,0.10858723650381527
gate3a_ood_tue_wed,10,svc_rbf,integrity_label_prior_shift,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,10,svc_rbf,integrity_label_jsd,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,10,svc_rbf,integrity_confusion_profile_l1,sensor,200,4,0.02,0.00547556587955645,0.05041360908989634
gate3a_ood_tue_wed,10,svc_rbf,integrity_confusion_profile_jsd,sensor,200,9,0.045,0.020780422227004353,0.08370268807585404
gate3a_ood_tue_wed,10,svc_rbf,I_X,regime,200,33,0.165,0.11638311995805393,0.22384346771182057
gate3a_ood_tue_wed,10,svc_rbf,I_XF,regime,200,54,0.27,0.20980333746614532,0.3371525906873306
gate3a_ood_tue_wed,10,svc_rbf,I_Ym,regime,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,10,svc_rbf,I_XFY,regime,200,58,0.29,0.22815698936351192,0.3581874521622911
gate3a_ood_tue_wed,12,qsvc_zz_r1,integrity_jsd_vs_clean_eval,sensor,200,14,0.07,0.038795570429562824,0.1146597335371105
gate3a_ood_tue_wed,12,qsvc_zz_r1,integrity_mmd_vs_clean_eval,sensor,200,9,0.045,0.020780422227004353,0.08370268807585404
gate3a_ood_tue_wed,12,qsvc_zz_r1,integrity_ks_reject05_vs_clean_eval,sensor,200,7,0.035,0.014185525898419248,0.07078099835097719
gate3a_ood_tue_wed,12,qsvc_zz_r1,integrity_score_jsd_vs_clean_eval,sensor,200,10,0.05,0.024234165472108552,0.0900275377013513
gate3a_ood_tue_wed,12,qsvc_zz_r1,integrity_pred_pos_rate_shift,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,12,qsvc_zz_r1,integrity_pred_jsd,sensor,200,2,0.01,0.001213349013736031,0.03565466839723975
gate3a_ood_tue_wed,12,qsvc_zz_r1,integrity_label_prior_shift,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,12,qsvc_zz_r1,integrity_label_jsd,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,12,qsvc_zz_r1,integrity_confusion_profile_l1,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,12,qsvc_zz_r1,integrity_confusion_profile_jsd,sensor,200,4,0.02,0.00547556587955645,0.05041360908989634
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_X,regime,200,26,0.13,0.08670835276857528,0.1846523305234126
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_XF,regime,200,35,0.175,0.1250244107737119,0.23488397063020913
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_Ym,regime,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_XFY,regime,200,40,0.2,0.14689448821575887,0.26222636458960014
gate3a_ood_tue_wed,12,svc_rbf,integrity_jsd_vs_clean_eval,sensor,200,14,0.07,0.038795570429562824,0.1146597335371105
gate3a_ood_tue_wed,12,svc_rbf,integrity_mmd_vs_clean_eval,sensor,200,10,0.05,0.024234165472108552,0.0900275377013513
gate3a_ood_tue_wed,12,svc_rbf,integrity_ks_reject05_vs_clean_eval,sensor,200,7,0.035,0.014185525898419248,0.07078099835097719
gate3a_ood_tue_wed,12,svc_rbf,integrity_score_jsd_vs_clean_eval,sensor,200,11,0.055,0.027772254552006544,0.09627764443391293
gate3a_ood_tue_wed,12,svc_rbf,integrity_pred_pos_rate_shift,sensor,200,6,0.03,0.011087455672254776,0.06415062670502698
gate3a_ood_tue_wed,12,svc_rbf,integrity_pred_jsd,sensor,200,14,0.07,0.038795570429562824,0.1146597335371105
gate3a_ood_tue_wed,12,svc_rbf,integrity_label_prior_shift,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,12,svc_rbf,integrity_label_jsd,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,12,svc_rbf,integrity_confusion_profile_l1,sensor,200,4,0.02,0.00547556587955645,0.05041360908989634
gate3a_ood_tue_wed,12,svc_rbf,integrity_confusion_profile_jsd,sensor,200,17,0.085,0.05029591863025729,0.13260516582955237
gate3a_ood_tue_wed,12,svc_rbf,I_X,regime,200,26,0.13,0.08670835276857528,0.1846523305234126
gate3a_ood_tue_wed,12,svc_rbf,I_XF,regime,200,47,0.235,0.1780707346006876,0.2999618726472491
gate3a_ood_tue_wed,12,svc_rbf,I_Ym,regime,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,12,svc_rbf,I_XFY,regime,200,50,0.25,0.19160716962258753,0.3159628333298691
