all,attack_family,attack,target,target_kind,n,n_fire,detection_rate,ci95_low,ci95_high
all_environments,covariate_shift,scaling_drift_alpha_0.020,integrity_confusion_profile_jsd,sensor,600,94,0.15666666666666668,0.1284975131297233,0.18826368002088875
all_environments,covariate_shift,scaling_drift_alpha_0.020,I_X,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,scaling_drift_alpha_0.020,I_XF,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,scaling_drift_alpha_0.020,I_Ym,regime,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,scaling_drift_alpha_0.020,I_XFY,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,scaling_drift_alpha_0.020,integrity_pred_disagreement,sensor_exact,600,322,0.5366666666666666,0.4958363376114133,0.5771344339423475
all_environments,covariate_shift,scaling_drift_alpha_0.020,integrity_confusion_profile_l1_delta,sensor_exact,600,310,0.5166666666666667,0.47585009106768905,0.5573184507099054
all_environments,covariate_shift,scaling_drift_alpha_0.020,integrity_confusion_profile_jsd_delta,sensor_exact,600,310,0.5166666666666667,0.47585009106768905,0.5573184507099054
all_environments,covariate_shift,scaling_drift_alpha_0.020,label_flip_rate,sensor_exact,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,scaling_drift_alpha_0.020,I_XF_item_aligned,regime_exact,600,322,0.5366666666666666,0.4958363376114133,0.5771344339423475
all_environments,covariate_shift,scaling_drift_alpha_0.020,I_XFY_item_aligned,regime_exact,600,322,0.5366666666666666,0.4958363376114133,0.5771344339423475
all_environments,covariate_shift,scaling_drift_alpha_0.050,integrity_jsd_vs_clean_eval,sensor,600,568,0.9466666666666667,0.9255404243339528,0.9632376425320087
all_environments,covariate_shift,scaling_drift_alpha_0.050,integrity_mmd_vs_clean_eval,sensor,600,224,0.37333333333333335,0.3345033625700917,0.413416807356712
all_environments,covariate_shift,scaling_drift_alpha_0.050,integrity_ks_reject05_vs_clean_eval,sensor,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,scaling_drift_alpha_0.050,integrity_score_jsd_vs_clean_eval,sensor,600,499,0.8316666666666667,0.7992796617471705,0.86074562661747
all_environments,covariate_shift,scaling_drift_alpha_0.050,integrity_pred_pos_rate_shift,sensor,600,183,0.305,0.26836437196876545,0.3435679985526416
all_environments,covariate_shift,scaling_drift_alpha_0.050,integrity_pred_jsd,sensor,600,196,0.32666666666666666,0.2892391485655222,0.3658109568981057
all_environments,covariate_shift,scaling_drift_alpha_0.050,integrity_label_prior_shift,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,scaling_drift_alpha_0.050,integrity_label_jsd,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,scaling_drift_alpha_0.050,integrity_confusion_profile_l1,sensor,600,162,0.27,0.23484926963940828,0.3074323256072714
all_environments,covariate_shift,scaling_drift_alpha_0.050,integrity_confusion_profile_jsd,sensor,600,176,0.29333333333333333,0.25716352550062943,0.33155177514808803
all_environments,covariate_shift,scaling_drift_alpha_0.050,I_X,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,scaling_drift_alpha_0.050,I_XF,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,scaling_drift_alpha_0.050,I_Ym,regime,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,scaling_drift_alpha_0.050,I_XFY,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,scaling_drift_alpha_0.050,integrity_pred_disagreement,sensor_exact,600,365,0.6083333333333333,0.5679874751981395,0.6476073795024757
all_environments,covariate_shift,scaling_drift_alpha_0.050,integrity_confusion_profile_l1_delta,sensor_exact,600,359,0.5983333333333334,0.557868689717137,0.6378252138056053
