gate,svd_dim,model,regime,n_resplits,resplit_rate_family_v12,resplit_rate_family,resplit_rate_family_max,conformal_level
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_Ym,30,0.040833333333333326,0.040833333333333326,0.075,0.04975124378109453
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_XFY,30,0.058666666666666666,0.03416666666666667,0.07,0.04975124378109453
gate3a_ood_tue_wed,12,svc_rbf,I_X,30,0.05033333333333334,0.04283333333333333,0.095,0.04975124378109453
gate3a_ood_tue_wed,12,svc_rbf,I_XF,30,0.06483333333333334,0.04516666666666666,0.095,0.04975124378109453
gate3a_ood_tue_wed,12,svc_rbf,I_Ym,30,0.04433333333333333,0.04433333333333333,0.075,0.04975124378109453
gate3a_ood_tue_wed,12,svc_rbf,I_XFY,30,0.05600000000000001,0.033166666666666664,0.08,0.04975124378109453
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_X,30,0.04566666666666666,0.03799999999999999,0.115,0.04975124378109453
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_XF,30,0.05916666666666667,0.03883333333333334,0.09,0.04975124378109453
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_Ym,30,0.039666666666666656,0.039666666666666656,0.075,0.04975124378109453
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_XFY,30,0.06633333333333333,0.03866666666666666,0.1,0.04975124378109453
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_X,30,0.050499999999999996,0.04016666666666666,0.07,0.04975124378109453
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_XF,30,0.048,0.032333333333333346,0.07,0.04975124378109453
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_Ym,30,0.04366666666666666,0.04366666666666666,0.075,0.04975124378109453
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_XFY,30,0.057499999999999996,0.03566666666666666,0.085,0.04975124378109453
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_X,30,0.0545,0.04333333333333333,0.1,0.04975124378109453
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_XF,30,0.05933333333333333,0.043666666666666666,0.105,0.04975124378109453
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_Ym,30,0.03866666666666667,0.03866666666666667,0.08,0.04975124378109453
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_XFY,30,0.050666666666666665,0.03133333333333334,0.085,0.04975124378109453
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_X,30,0.05600000000000001,0.04716666666666667,0.095,0.04975124378109453
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_XF,30,0.05650000000000001,0.043,0.1,0.04975124378109453
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_Ym,30,0.04066666666666667,0.04066666666666667,0.08,0.04975124378109453
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_XFY,30,0.060333333333333336,0.02916666666666667,0.085,0.04975124378109453
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_X,30,0.057,0.047833333333333325,0.11,0.04975124378109453
