gate,split_seed,regime,rule,n,n_fire,false_alarm_rate
gate5b_id_ton_iot,43,I_X,union,480,44,0.09166666666666666
gate5b_id_ton_iot,43,I_X,family,480,20,0.041666666666666664
gate5b_id_ton_iot,43,I_XF,union,480,94,0.19583333333333333
gate5b_id_ton_iot,43,I_XF,family,480,48,0.1
gate5b_id_ton_iot,43,I_Ym,union,480,24,0.05
gate5b_id_ton_iot,43,I_Ym,family,480,24,0.05
gate5b_id_ton_iot,43,I_XFY,union,480,126,0.2625
gate5b_id_ton_iot,43,I_XFY,family,480,40,0.08333333333333333
gate5b_id_ton_iot,44,I_X,union,480,157,0.32708333333333334
gate5b_id_ton_iot,44,I_X,family,480,42,0.0875
gate5b_id_ton_iot,44,I_XF,union,480,179,0.3729166666666667
gate5b_id_ton_iot,44,I_XF,family,480,45,0.09375
gate5b_id_ton_iot,44,I_Ym,union,480,24,0.05
gate5b_id_ton_iot,44,I_Ym,family,480,24,0.05
gate5b_id_ton_iot,44,I_XFY,union,480,219,0.45625
gate5b_id_ton_iot,44,I_XFY,family,480,51,0.10625
gate5b_id_ton_iot,45,I_X,union,480,0,0.0
gate5b_id_ton_iot,45,I_X,family,480,0,0.0
gate5b_id_ton_iot,45,I_XF,union,480,26,0.05416666666666667
gate5b_id_ton_iot,45,I_XF,family,480,11,0.022916666666666665
gate5b_id_ton_iot,45,I_Ym,union,480,24,0.05
gate5b_id_ton_iot,45,I_Ym,family,480,24,0.05
gate5b_id_ton_iot,45,I_XFY,union,480,76,0.15833333333333333
gate5b_id_ton_iot,45,I_XFY,family,480,11,0.022916666666666665
gate5b_id_ton_iot,46,I_X,union,480,267,0.55625
gate5b_id_ton_iot,46,I_X,family,480,97,0.20208333333333334
gate5b_id_ton_iot,46,I_XF,union,480,299,0.6229166666666667
gate5b_id_ton_iot,46,I_XF,family,480,91,0.18958333333333333
gate5b_id_ton_iot,46,I_Ym,union,480,72,0.15
gate5b_id_ton_iot,46,I_Ym,family,480,72,0.15
gate5b_id_ton_iot,46,I_XFY,union,480,330,0.6875
gate5b_id_ton_iot,46,I_XFY,family,480,115,0.23958333333333334
gate6_ood_unsw,42,I_X,union,240,7,0.029166666666666667
gate6_ood_unsw,42,I_X,family,240,6,0.025
gate6_ood_unsw,42,I_XF,union,240,33,0.1375
gate6_ood_unsw,42,I_XF,family,240,15,0.0625
gate6_ood_unsw,42,I_Ym,union,240,12,0.05
gate6_ood_unsw,42,I_Ym,family,240,12,0.05
gate6_ood_unsw,42,I_XFY,union,240,48,0.2
gate6_ood_unsw,42,I_XFY,family,240,15,0.0625
gate6_ood_unsw,43,I_X,union,240,0,0.0
gate6_ood_unsw,43,I_X,family,240,0,0.0
gate6_ood_unsw,43,I_XF,union,240,49,0.20416666666666666
gate6_ood_unsw,43,I_XF,family,240,16,0.06666666666666667
gate6_ood_unsw,43,I_Ym,union,240,6,0.025
gate6_ood_unsw,43,I_Ym,family,240,6,0.025
gate6_ood_unsw,43,I_XFY,union,240,52,0.21666666666666667
gate6_ood_unsw,43,I_XFY,family,240,12,0.05
gate6_ood_unsw,44,I_X,union,240,6,0.025
