signal_set,group,norm,norm_include_clean,combine,max_impact_err,max_stealth_err,dim8,dim10,dim12
vs_clean_11,protocol_only,absmax,True,component_mean,0.0,0.3788627431607001,1.8962613466267575,2.1433315696380775,2.045488340890251
vs_clean_11,protocol_only,absmax,False,component_mean,0.0,0.3788627431607001,1.8962613466267575,2.1433315696380775,2.045488340890251
label_pred_7,protocol_dataset_dim,minmax,True,component_mean,0.0,0.47024194057024515,2.058257815408929,2.198675523146898,2.0206735534570446
label_pred_7,protocol_dataset_dim,minmax,False,component_mean,0.0,0.47024194057024515,2.058257815408929,2.198675523146898,2.0206735534570446
label_pred_7,protocol_dataset_dim,max,True,component_mean,0.0,0.47024194057024515,2.058257815408929,2.198675523146898,2.0206735534570446
label_pred_7,protocol_dataset_dim,max,False,component_mean,0.0,0.47024194057024515,2.058257815408929,2.198675523146898,2.0206735534570446
label_pred_7,protocol_dataset_dim,absmax,True,component_mean,0.0,0.47024194057024515,2.058257815408929,2.198675523146898,2.0206735534570446
label_pred_7,protocol_dataset_dim,absmax,False,component_mean,0.0,0.47024194057024515,2.058257815408929,2.198675523146898,2.0206735534570446
label_pred_7,protocol_dim,minmax,True,component_mean,0.0,0.47024194057024515,2.058257815408929,2.198675523146898,2.0206735534570446
label_pred_7,protocol_dim,minmax,False,component_mean,0.0,0.47024194057024515,2.058257815408929,2.198675523146898,2.0206735534570446
label_pred_7,protocol_dim,max,True,component_mean,0.0,0.47024194057024515,2.058257815408929,2.198675523146898,2.0206735534570446
label_pred_7,protocol_dim,max,False,component_mean,0.0,0.47024194057024515,2.058257815408929,2.198675523146898,2.0206735534570446
label_pred_7,protocol_dim,absmax,True,component_mean,0.0,0.47024194057024515,2.058257815408929,2.198675523146898,2.0206735534570446
label_pred_7,protocol_dim,absmax,False,component_mean,0.0,0.47024194057024515,2.058257815408929,2.198675523146898,2.0206735534570446
simple_6,protocol_dataset_dim_family,minmax,True,component_mean,0.0,0.48441565307132417,1.969159213455895,2.2898952357152527,2.028789634876729
simple_6,protocol_dataset_dim_family,minmax,False,component_mean,0.0,0.48441565307132417,1.969159213455895,2.2898952357152527,2.028789634876729
label_pred_7,protocol_dataset,minmax,True,component_mean,0.0,0.4989078069769113,2.058257815408929,2.2925369654566867,2.165533404706462
label_pred_7,protocol_dataset,minmax,False,component_mean,0.0,0.4989078069769113,2.058257815408929,2.2925369654566867,2.165533404706462
